com,white,irish_traveller,roma,indian,chinese,filipino,pakistani,arab,other_asian,black_african,black_other,mixed,other_ethnicities
newry,96.4%,0.5%,0.1%,0.5%,0.4%,0.2%,0.1%,0.2%,0.2%,0.3%,0.2%,0.6%,0.3%
north-belfast,95.2%,0.1%,0.0%,0.4%,0.3%,0.9%,0.1%,0.2%,0.2%,1.2%,0.1%,0.9%,0.3%
