com,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
newry,34.6%,31.8%,22.7%,9.4%,1.4%
north-belfast,25.1%,30.4%,27.8%,15.1%,1.6%
