com,age_0_4_years,age_10_14_years,age_15_19_years,age_20_24_years,age_25_29_years,age_30_34_years,age_35_39_years,age_40_44_years,age_45_49_years,age_50_54_years,age_55_59_years,age_5_9_years,age_60_64_years,age_65_69_years,age_70_74_years,age_75_79_years,age_80_84_years,age_85_plus_years
newry,6.1%,6.6%,5.7%,5.6%,6.5%,6.9%,7.1%,6.5%,6.4%,7.0%,6.9%,6.7%,6.1%,4.8%,3.9%,3.2%,2.1%,2.0%
north-belfast,6.7%,7.2%,6.2%,6.0%,7.0%,7.7%,7.0%,6.0%,5.7%,6.2%,6.8%,7.4%,5.7%,4.1%,3.4%,3.0%,2.0%,1.9%
