com,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
newry,11.4%,18.7%,11.4%,18.3%,8.9%,10.4%,7.5%,8.0%,5.5%
north_belfast,12.3%,26.2%,9.1%,10.1%,5.6%,18.0%,8.0%,5.6%,5.1%
