com,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
newry,4.8%,9.0%,25.8%,3.2%,57.3%
north_belfast,3.6%,9.9%,20.8%,1.9%,63.8%
