com,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
newry,81.2%,2.1%,1.5%,0.3%,2.7%,1.3%,9.4%,1.5%
north_belfast,37.7%,17.6%,13.9%,3.5%,6.8%,1.6%,16.8%,2.2%
